ID,Caption
ImageCLEFmedical_Caption_2025_test_118,Plain abdominal radiograph showing the presence of multiple air-fluid levels.
ImageCLEFmedical_Caption_2025_test_1251,Transthoracic echocardiogram showing a large vegetation on the mitral valve.
ImageCLEFmedical_Caption_2025_test_1258,Abdominal X-ray showing multiple air-fluid levels.
ImageCLEFmedical_Caption_2025_test_1260,MRI of the pelvis showing a large mass (green arrow) in the right adnexa with a small amount of free fluid (blue arrow) and a small amount of blood (red arrow).
ImageCLEFmedical_Caption_2025_test_15167,"PET/CT scan showing multiple metastatic lesions in the liver (blue arrow), spleen (red arrow), and lymph nodes (green arrow)."
ImageCLEFmedical_Caption_2025_test_1776,CT scan of the chest showing a large right-sided pleural effusion.
ImageCLEFmedical_Caption_2025_test_19226,B-scan of the left eye showing a large choroidal detachment (red arrows)
ImageCLEFmedical_Caption_2025_test_19232,Ultrasound image of the right eye showing a 3.9 mm thickened optic nerve sheath diameter.
ImageCLEFmedical_Caption_2025_test_283,MRI of the abdomen showing a 2.5 cm mass in the right lobe of the liver (arrow).
ImageCLEFmedical_Caption_2025_test_3298,Angiography of the left subclavian artery showing a 90% stenosis of the left subclavian artery (red arrow).
ImageCLEFmedical_Caption_2025_test_3563,Chest CT scan showing multiple nodules (arrows) in both lungs.
ImageCLEFmedical_Caption_2025_test_368,PET/CT scan showing a hypermetabolic mass in the left upper lobe of the lung (arrow).
ImageCLEFmedical_Caption_2025_test_3880,CT scan of the brain showing a large right-sided subdural hematoma.
ImageCLEFmedical_Caption_2025_test_4346,Ultrasound image of the right breast showing a 1.5 cm hypoechoic mass (arrow) in the right breast.
ImageCLEFmedical_Caption_2025_test_5522,Cerebral angiogram showing the right vertebral artery (yellow arrows)
ImageCLEFmedical_Caption_2025_test_8779,Positron emission tomography-computed tomography (PET-CT) scan showing a hypermetabolic mass in the right breast (arrow).
